taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2017-05-18T00:36:42.000+08:00,2017-05-18T00:38:41.000+08:00,N,1,236,236,"","","","",6,0.43,3.5,1.0,0.5,0.0,0.0,0.3,5.3,2
yellow,1,2017-05-01T00:00:00.000+08:00,2017-05-01T00:25:18.000+08:00,N,2,132,141,"","","","",1,17.1,52.0,0.0,0.5,10.55,0.0,0.3,63.35,1
yellow,1,2017-05-01T00:00:00.000+08:00,2017-05-01T00:22:42.000+08:00,N,1,138,50,"","","","",1,9.9,29.0,0.5,0.5,7.2,5.76,0.3,43.26,1
yellow,2,2017-05-01T00:00:00.000+08:00,2017-05-01T00:27:42.000+08:00,N,1,48,7,"","","","",1,4.4,19.5,0.5,0.5,0.0,0.0,0.3,20.8,2
yellow,2,2017-05-01T00:00:00.000+08:00,2017-05-01T00:00:00.000+08:00,N,1,186,233,"","","","",1,1.81,18.0,0.0,0.5,0.0,0.0,0.3,18.8,2
yellow,2,2017-05-01T00:00:00.000+08:00,2017-05-01T15:38:37.000+08:00,N,5,264,142,"","","","",2,0.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,1
yellow,1,2017-05-01T00:00:01.000+08:00,2017-05-01T00:16:31.000+08:00,N,1,211,161,"","","","",1,3.6,15.0,0.5,0.5,0.0,0.0,0.3,16.3,2
yellow,1,2017-05-01T00:00:01.000+08:00,2017-05-01T00:09:58.000+08:00,N,1,48,229,"","","","",1,1.8,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2
yellow,1,2017-05-01T00:00:02.000+08:00,2017-05-01T00:18:49.000+08:00,N,1,142,144,"","","","",1,4.1,16.0,0.5,0.5,0.0,0.0,0.3,17.3,2
yellow,2,2017-05-17T23:49:35.000+08:00,2017-05-17T23:54:34.000+08:00,N,1,170,163,"","","","",6,0.85,5.5,1.0,0.5,0.0,0.0,0.3,7.3,2
yellow,2,2017-05-17T23:56:05.000+08:00,2017-05-18T00:06:33.000+08:00,N,1,163,163,"","","","",6,0.67,7.5,1.0,0.5,0.0,0.0,0.3,9.3,2
yellow,2,2017-05-18T00:19:45.000+08:00,2017-05-18T00:31:18.000+08:00,N,1,163,236,"","","","",6,1.78,9.5,1.0,0.5,2.26,0.0,0.3,13.56,1
yellow,2,2017-05-01T00:00:02.000+08:00,2017-05-01T00:11:40.000+08:00,N,1,230,158,"","","","",2,2.52,10.5,0.5,0.5,0.0,0.0,0.3,11.8,2
yellow,1,2017-05-01T00:00:03.000+08:00,2017-05-01T00:04:23.000+08:00,N,1,232,148,"","","","",2,0.7,5.0,0.5,0.5,1.25,0.0,0.3,7.55,1
