taxi_type,vendor_id,pickup_datetime,dropoff_datetime,store_and_fwd_flag,rate_code_id,pickup_location_id,dropoff_location_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
yellow,2,2017-06-08T07:52:31.000+08:00,2017-06-08T08:01:32.000+08:00,N,1,161,140,,,,,6,1.03,7.5,1.0,0.5,1.86,0.0,0.3,11.16,1
yellow,2,2017-06-08T08:08:18.000+08:00,2017-06-08T08:14:00.000+08:00,N,1,162,233,,,,,6,1.03,6.0,1.0,0.5,2.34,0.0,0.3,10.14,1
yellow,2,2017-06-08T08:16:49.000+08:00,2017-06-08T15:43:22.000+08:00,N,1,137,41,,,,,6,5.63,21.5,1.0,0.5,0.0,0.0,0.3,23.3,2
yellow,2,2017-06-29T15:52:35.000+08:00,2017-06-29T16:03:27.000+08:00,N,1,142,48,,,,,6,1.43,8.5,1.0,0.5,0.88,0.0,0.3,11.18,1
yellow,1,2017-06-01T00:00:00.000+08:00,2017-06-01T00:03:43.000+08:00,N,1,140,141,,,,,1,0.6,4.5,0.5,0.5,2.0,0.0,0.3,7.8,1
yellow,2,2017-06-01T00:00:00.000+08:00,2017-06-01T00:00:00.000+08:00,N,2,132,74,,,,,2,17.57,52.0,0.0,0.5,11.71,5.76,0.3,70.27,1
yellow,2,2017-06-01T00:00:00.000+08:00,2017-06-01T00:00:00.000+08:00,N,1,138,249,,,,,5,13.34,47.0,0.0,0.5,10.71,5.76,0.3,64.27,1
yellow,2,2017-06-01T00:00:00.000+08:00,2017-06-01T00:00:00.000+08:00,N,2,132,230,,,,,1,18.08,52.0,4.5,0.5,0.0,5.76,0.3,63.06,2
yellow,1,2017-06-01T00:00:01.000+08:00,2017-06-01T00:01:43.000+08:00,N,1,148,148,,,,,1,0.2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,2
yellow,1,2017-06-01T00:00:01.000+08:00,2017-06-01T00:08:36.000+08:00,N,1,114,170,,,,,1,1.9,8.5,0.5,0.5,1.95,0.0,0.3,11.75,1
yellow,1,2017-06-01T00:00:01.000+08:00,2017-06-01T00:12:52.000+08:00,N,1,234,141,,,,,1,3.0,12.0,0.5,0.5,2.65,0.0,0.3,15.95,1
yellow,2,2017-06-01T00:00:01.000+08:00,2017-06-01T00:08:17.000+08:00,N,1,263,41,,,,,2,2.63,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2
yellow,1,2017-06-01T00:00:02.000+08:00,2017-06-01T00:14:46.000+08:00,N,1,229,202,,,,,2,3.8,14.0,0.5,0.5,3.05,0.0,0.3,18.35,1
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:05:10.000+08:00,N,1,48,229,,,,,1,1.02,6.0,0.5,0.5,2.19,0.0,0.3,9.49,1
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:04:01.000+08:00,N,1,234,234,,,,,1,0.76,5.0,0.5,0.5,1.89,0.0,0.3,8.19,1
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:08:30.000+08:00,N,1,162,237,,,,,2,2.5,9.5,0.5,0.5,0.0,0.0,0.3,10.8,2
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:06:25.000+08:00,N,1,249,90,,,,,1,1.09,6.5,0.5,0.5,0.0,0.0,0.3,7.8,2
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:11:51.000+08:00,N,1,45,107,,,,,2,1.63,9.5,0.5,0.5,1.5,0.0,0.3,12.3,1
yellow,2,2017-06-01T00:00:02.000+08:00,2017-06-01T00:02:25.000+08:00,N,1,261,209,,,,,2,0.34,3.5,0.5,0.5,0.96,0.0,0.3,5.76,1
yellow,1,2017-06-01T00:00:03.000+08:00,2017-06-01T00:01:37.000+08:00,N,1,100,186,,,,,1,0.4,3.5,0.5,0.5,0.0,0.0,0.3,4.8,2
yellow,1,2017-06-01T00:00:03.000+08:00,2017-06-01T00:04:54.000+08:00,N,1,100,164,,,,,1,0.5,5.0,0.5,0.5,1.55,0.0,0.3,7.85,1
yellow,2,2017-06-01T00:00:03.000+08:00,2017-06-01T00:03:30.000+08:00,N,1,262,263,,,,,1,0.6,4.5,0.5,0.5,0.0,0.0,0.3,5.8,2
yellow,2,2017-06-01T00:00:03.000+08:00,2017-06-01T00:29:19.000+08:00,N,1,234,41,,,,,1,8.55,28.0,0.5,0.5,0.0,0.0,0.3,29.3,2
yellow,2,2017-06-01T00:00:03.000+08:00,2017-06-01T00:27:02.000+08:00,N,1,138,25,,,,,1,10.75,34.5,0.5,0.5,0.0,0.0,0.3,35.8,1
yellow,2,2017-06-01T00:00:03.000+08:00,2017-06-01T00:11:41.000+08:00,N,1,148,249,,,,,2,2.1,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2
yellow,1,2017-06-01T00:00:04.000+08:00,2017-06-01T00:08:09.000+08:00,N,1,50,186,,,,,2,1.7,8.0,0.5,0.5,0.0,0.0,0.3,9.3,2
yellow,1,2017-06-01T00:00:04.000+08:00,2017-06-01T00:21:49.000+08:00,N,1,261,158,,,,,1,3.3,14.0,0.5,0.5,0.0,0.0,0.3,15.3,3
yellow,2,2017-06-01T00:00:04.000+08:00,2017-06-01T00:12:25.000+08:00,N,1,170,74,,,,,1,3.83,13.0,0.5,0.5,0.0,0.0,0.3,14.3,2
yellow,2,2017-06-01T00:00:04.000+08:00,2017-06-01T00:05:42.000+08:00,N,1,79,232,,,,,6,1.72,7.0,0.5,0.5,2.7,0.0,0.3,11.0,1
yellow,1,2017-06-01T00:00:05.000+08:00,2017-06-01T00:10:54.000+08:00,N,1,239,263,,,,,1,2.0,9.0,0.5,0.5,2.05,0.0,0.3,12.35,1
yellow,2,2017-06-01T00:00:05.000+08:00,2017-06-01T00:13:06.000+08:00,N,1,113,48,,,,,1,3.19,12.0,0.5,0.5,2.66,0.0,0.3,15.96,1
yellow,2,2017-06-01T00:00:05.000+08:00,2017-06-01T00:02:49.000+08:00,N,1,262,141,,,,,1,0.9,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2
yellow,2,2017-06-01T00:00:05.000+08:00,2017-06-01T00:05:05.000+08:00,N,1,148,79,,,,,5,0.82,5.5,0.5,0.5,1.36,0.0,0.3,8.16,1
yellow,2,2017-06-01T00:00:05.000+08:00,2017-06-01T00:16:34.000+08:00,N,1,170,87,,,,,1,3.63,14.0,0.5,0.5,3.06,0.0,0.3,18.36,1
yellow,2,2017-06-01T00:00:06.000+08:00,2017-06-01T00:11:30.000+08:00,N,1,161,246,,,,,2,1.67,9.0,0.5,0.5,2.06,0.0,0.3,12.36,1
yellow,2,2017-06-01T00:00:06.000+08:00,2017-06-01T00:09:01.000+08:00,N,1,230,238,,,,,1,2.61,9.5,0.5,0.5,1.0,0.0,0.3,11.8,1
yellow,2,2017-06-01T00:00:06.000+08:00,2017-06-01T00:12:59.000+08:00,N,1,232,88,,,,,1,2.24,10.5,0.5,0.5,2.95,0.0,0.3,14.75,1
yellow,1,2017-06-01T00:00:07.000+08:00,2017-06-01T00:12:57.000+08:00,N,1,148,112,,,,,1,3.8,14.0,0.5,0.5,4.55,0.0,0.3,19.85,1
yellow,1,2017-06-01T00:00:07.000+08:00,2017-06-01T00:38:07.000+08:00,N,1,138,230,,,,,1,10.5,37.0,0.5,0.5,8.82,5.78,0.3,52.9,1
yellow,2,2017-06-01T00:00:07.000+08:00,2017-06-01T00:07:44.000+08:00,N,1,230,143,,,,,1,1.29,7.5,0.5,0.5,3.0,0.0,0.3,11.8,1
yellow,2,2017-06-01T00:00:08.000+08:00,2017-06-01T00:08:06.000+08:00,N,1,114,90,,,,,4,1.53,7.5,0.5,0.5,1.0,0.0,0.3,9.8,1
yellow,2,2017-06-01T00:00:08.000+08:00,2017-06-01T00:10:57.000+08:00,N,1,107,236,,,,,5,3.05,11.5,0.5,0.5,0.75,0.0,0.3,13.55,1
yellow,2,2017-06-01T00:00:08.000+08:00,2017-06-01T00:05:20.000+08:00,N,1,229,141,,,,,1,0.88,5.5,0.5,0.5,0.0,0.0,0.3,6.8,2
yellow,2,2017-06-01T00:00:08.000+08:00,2017-06-01T00:06:05.000+08:00,N,1,90,137,,,,,5,1.5,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1
yellow,1,2017-06-01T00:00:09.000+08:00,2017-06-01T00:07:10.000+08:00,N,1,144,234,,,,,1,1.9,8.5,0.5,0.5,1.47,0.0,0.3,11.27,1
