VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type

2,2017-03-01 00:30:18,2017-03-01 00:30:47,N,1,264,264,1,.00,1.5,0.2,0,0,0,,0,1.7,1,1
2,2017-03-01 00:11:58,2017-03-01 01:05:54,N,1,95,49,1,18.77,57.5,0.5,0.5,0,0,,0.3,58.8,2,1
2,2017-03-01 00:54:44,2017-03-01 01:03:42,N,1,92,192,1,1.76,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:00:07,2017-03-01 00:04:39,N,1,70,70,2,1.15,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-03-01 00:17:05,2017-03-01 00:36:48,N,1,196,193,1,5.19,18.5,0.5,0.5,0,0,,0.3,19.8,1,1
2,2017-03-01 00:38:48,2017-03-01 00:45:59,N,1,7,179,1,1.52,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-03-01 00:06:06,2017-03-01 00:18:01,N,1,264,264,1,3.73,13,0.5,0.5,2.86,0,,0.3,17.16,1,1
2,2017-03-01 00:59:13,2017-03-01 01:10:17,N,1,75,186,1,3.70,12.5,0.5,0.5,0,0,,0.3,13.8,2,1
2,2017-03-01 00:05:27,2017-03-01 00:17:52,N,1,166,243,1,4.35,14.5,0.5,0.5,3.95,0,,0.3,19.75,1,1
2,2017-03-01 00:21:48,2017-03-01 00:41:47,N,1,256,75,1,8.47,25.5,0.5,0.5,5.36,0,,0.3,32.16,1,1
2,2017-03-01 00:04:53,2017-03-01 00:10:58,N,1,260,157,5,1.22,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:40:15,2017-03-01 00:46:22,N,1,181,66,1,1.27,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-03-01 00:01:28,2017-03-01 00:06:25,N,1,74,74,1,.71,5,0.5,0.5,0,0,,0.3,6.3,1,1
2,2017-03-01 00:21:55,2017-03-01 00:30:51,N,1,152,119,1,2.56,10,0.5,0.5,2.26,0,,0.3,13.56,1,1
2,2017-03-01 00:24:32,2017-03-01 00:28:39,N,1,223,223,1,.91,5,0.5,0.5,1.26,0,,0.3,7.56,1,1
2,2017-03-01 00:07:41,2017-03-01 00:12:29,N,1,223,223,1,1.04,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:03:21,2017-03-01 00:06:24,N,1,40,54,1,.64,4.5,0.5,0.5,1.45,0,,0.3,7.25,1,1
2,2017-03-01 00:14:37,2017-03-01 00:17:38,N,1,95,95,1,.80,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2017-03-01 00:44:21,2017-03-01 00:56:39,N,1,95,82,1,2.66,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2017-03-01 00:06:20,2017-03-01 00:12:21,N,1,82,56,2,1.25,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:32:01,2017-03-01 00:35:52,N,1,260,82,2,.73,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-03-01 00:50:50,2017-03-01 00:57:35,N,1,260,129,2,1.39,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-03-01 00:24:01,2017-03-01 00:42:46,N,1,7,198,1,4.60,17,0.5,0.5,0,0,,0.3,18.3,2,1
2,2017-03-01 00:56:55,2017-03-01 01:08:24,N,1,42,147,1,2.52,11,0.5,0.5,0,0,,0.3,12.3,1,1
2,2017-03-01 00:13:08,2017-03-01 00:22:50,N,1,7,260,5,1.93,9,0.5,0.5,1,0,,0.3,11.3,1,1
2,2017-03-01 00:38:02,2017-03-01 00:42:39,N,1,7,7,5,1.24,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:36:35,2017-03-01 00:39:01,N,1,223,7,5,.69,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-03-01 00:41:02,2017-03-01 00:52:03,N,1,7,145,5,3.72,13,0.5,0.5,0,0,,0.3,14.3,2,1
2,2017-03-01 00:28:53,2017-03-01 00:33:50,N,1,97,97,1,.94,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-03-01 00:34:59,2017-03-01 00:46:45,N,1,49,256,1,2.30,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-03-01 00:57:57,2017-03-01 01:04:03,N,1,95,196,1,1.60,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2017-03-01 00:06:31,2017-03-01 00:12:17,N,1,41,42,1,1.17,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:20:10,2017-03-01 00:27:17,N,1,166,116,2,1.80,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-03-01 00:39:54,2017-03-01 00:45:19,N,1,166,24,1,.85,6,0.5,0.5,1.46,0,,0.3,8.76,1,1
2,2017-03-01 00:05:39,2017-03-01 00:08:53,N,1,255,112,1,.84,4.5,0.5,0.5,1.74,0,,0.3,7.54,1,1
2,2017-03-01 00:19:12,2017-03-01 00:30:02,N,1,95,175,1,5.90,18,0.5,0.5,0,0,,0.3,19.3,2,1
2,2017-03-01 00:54:13,2017-03-01 01:00:11,N,1,95,95,1,1.17,6.5,0.5,0.5,1.56,0,,0.3,9.36,1,1
2,2017-03-01 00:20:54,2017-03-01 00:27:59,N,1,83,82,1,1.35,7,0.5,0.5,1.66,0,,0.3,9.96,1,1
2,2017-03-01 00:36:18,2017-03-01 00:42:50,N,1,82,82,1,1.20,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:01:35,2017-03-01 00:16:52,N,1,256,40,1,5.41,18,0.5,0.5,3.86,0,,0.3,23.16,1,1
2,2017-03-01 00:27:55,2017-03-01 00:38:29,N,1,256,198,1,2.59,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1
2,2017-03-01 00:52:28,2017-03-01 01:17:57,N,1,36,170,1,6.75,23,0.5,0.5,4.86,0,,0.3,29.16,1,1
2,2017-03-01 00:23:52,2017-03-01 00:34:24,N,1,260,83,1,2.08,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-03-01 00:45:23,2017-03-01 00:50:24,N,1,7,223,1,1.38,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:56:39,2017-03-01 01:01:02,N,1,7,7,1,.73,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2017-03-01 00:48:56,2017-03-01 00:59:54,N,1,179,129,1,3.00,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2017-03-01 00:54:15,2017-03-01 01:04:54,N,1,116,243,1,2.21,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-03-01 00:06:35,2017-03-01 00:08:52,N,1,112,112,1,.57,4,0.5,0.5,1.06,0,,0.3,6.36,1,1
2,2017-03-01 00:16:37,2017-03-01 00:33:24,N,1,255,61,1,4.08,15.5,0.5,0.5,0,0,,0.3,16.8,1,1
2,2017-03-01 00:56:57,2017-03-01 01:16:19,N,1,112,14,1,10.95,31,0.5,0.5,0,0,,0.3,32.3,2,1
2,2017-03-01 00:26:03,2017-03-01 00:31:11,N,1,41,74,1,1.13,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:37:46,2017-03-01 00:39:32,N,1,41,41,1,.44,3.5,0.5,0.5,0,0,,0.3,4.8,2,1
2,2017-03-01 00:49:03,2017-03-01 00:49:06,N,5,42,42,5,.00,7,0,0,0,0,,0,7,1,2
2,2017-03-01 00:56:38,2017-03-01 01:05:41,N,1,42,75,1,1.86,9,0.5,0.5,0,0,,0.3,10.3,2,1
2,2017-03-01 00:12:44,2017-03-01 00:27:46,N,1,256,68,1,4.38,15.5,0.5,0.5,0,0,,0.3,16.8,2,1
2,2017-03-01 00:56:06,2017-03-01 01:06:27,N,1,210,155,1,2.33,10,0.5,0.5,0,0,,0.3,11.3,2,1
2,2017-03-01 00:27:21,2017-03-01 00:41:42,N,1,7,196,1,6.88,21,0.5,0.5,4.46,0,,0.3,26.76,1,1
2,2017-03-01 00:40:59,2017-03-01 00:47:02,N,1,168,119,1,2.14,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:26:08,2017-03-01 01:06:51,N,1,42,61,2,14.69,45.5,0.5,0.5,0,0,,0.3,46.8,2,1
2,2017-03-01 00:01:07,2017-03-01 00:26:26,N,1,80,133,1,8.77,28,0.5,0.5,7.32,0,,0.3,36.62,1,1
2,2017-03-01 00:50:03,2017-03-01 00:53:10,N,1,260,260,1,.52,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-03-01 00:12:58,2017-03-01 00:30:00,N,1,129,80,5,5.97,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2017-03-01 00:27:19,2017-03-01 00:40:47,N,1,112,97,1,4.45,15,0.5,0.5,2,0,,0.3,18.3,1,1
2,2017-03-01 00:22:12,2017-03-01 00:30:51,N,1,42,151,1,2.41,9.5,0.5,0.5,0,0,,0.3,10.8,1,1
2,2017-03-01 00:41:44,2017-03-01 00:45:23,N,1,42,116,1,.60,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
2,2017-03-01 00:07:00,2017-03-01 00:11:12,N,1,47,247,1,1.18,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:05:16,2017-03-01 00:12:10,N,1,75,262,1,1.28,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:19:28,2017-03-01 00:42:12,N,1,75,13,1,9.11,28.5,0.5,0.5,5.96,0,,0.3,35.76,1,1
2,2017-03-01 00:28:16,2017-03-01 00:36:59,N,1,166,74,1,1.67,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:55:50,2017-03-01 01:04:49,N,1,74,74,1,1.50,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-03-01 00:23:38,2017-03-01 00:32:46,N,1,82,129,4,3.34,12,0.5,0.5,0,0,,0.3,13.3,2,1
2,2017-03-01 00:10:28,2017-03-01 00:14:09,N,1,95,196,1,1.13,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2017-03-01 00:40:29,2017-03-01 00:48:01,N,1,223,82,2,2.71,10.5,0.5,0.5,0,0,,0.3,11.8,2,1
2,2017-03-01 00:58:53,2017-03-01 01:06:38,N,1,82,82,2,1.61,8,0.5,0.5,0,0,,0.3,9.3,2,1
2,2017-03-01 00:15:11,2017-03-01 00:27:39,N,1,244,142,1,6.49,19.5,0.5,0.5,0,0,,0.3,20.8,2,1
2,2017-03-01 00:50:12,2017-03-01 00:54:36,N,1,41,74,1,1.16,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-03-01 00:27:33,2017-03-01 00:35:23,N,1,42,247,6,1.86,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:41:53,2017-03-01 00:45:57,N,1,7,7,1,.95,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
2,2017-03-01 00:10:30,2017-03-01 00:13:36,N,1,41,43,1,.69,4.5,0.5,0.5,1.16,0,,0.3,6.96,1,1
2,2017-03-01 00:24:52,2017-03-01 00:31:27,N,1,223,146,1,2.08,8.5,0.5,0.5,1.96,0,,0.3,13.71,1,1
2,2017-03-01 00:22:17,2017-03-01 00:42:52,N,5,260,198,0,3.84,20,0,0,0,0,,0,20,2,2
2,2017-03-01 00:06:19,2017-03-01 00:10:43,N,1,42,42,1,1.14,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2017-03-01 00:09:29,2017-03-01 00:12:56,N,1,166,238,1,1.02,5.5,0.5,0.5,1.36,0,,0.3,8.16,1,1
2,2017-03-01 00:23:51,2017-03-01 00:32:37,N,1,74,168,1,1.80,8.5,0.5,0.5,0,0,,0.3,9.8,2,1
2,2017-03-01 00:42:57,2017-03-01 00:48:43,N,1,74,43,1,1.08,6,0.5,0.5,0,0,,0.3,7.3,1,1
2,2017-03-01 00:27:56,2017-03-01 00:40:53,N,1,247,32,1,7.55,22,0.5,0.5,4.66,0,,0.3,27.96,1,1
2,2017-03-01 00:27:50,2017-03-01 00:34:21,N,1,42,116,1,1.03,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:09:09,2017-03-01 00:35:26,N,1,95,97,1,9.59,30.5,0.5,0.5,0,0,,0.3,31.8,1,1
2,2017-03-01 00:49:38,2017-03-01 00:57:08,N,1,196,95,1,1.65,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
2,2017-03-01 00:42:38,2017-03-01 00:44:35,N,1,42,42,1,.54,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-03-01 00:45:00,2017-03-01 00:51:18,N,1,42,168,1,1.17,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
2,2017-03-01 00:16:54,2017-03-01 00:34:03,N,1,243,41,1,4.72,16.5,0.5,0.5,0,0,,0.3,17.8,1,1
2,2017-03-01 00:39:19,2017-03-01 00:47:49,N,1,41,75,1,1.97,8.5,0.5,0.5,0,0,,0.3,9.8,1,1
2,2017-03-01 00:10:27,2017-03-01 00:28:20,N,1,255,14,1,10.45,29,0.5,0.5,6.06,0,,0.3,36.36,1,1
2,2017-03-01 00:59:19,2017-03-01 01:09:11,N,1,97,225,1,2.74,10.5,0.5,0.5,1,0,,0.3,12.8,1,1
2,2017-03-01 00:00:53,2017-03-01 00:05:12,N,1,260,129,1,1.23,6,0.5,0.5,0,0,,0.3,7.3,2,1
2,2017-03-01 00:20:32,2017-03-01 00:23:09,N,1,83,260,1,.58,4,0.5,0.5,0,0,,0.3,5.3,2,1
2,2017-03-01 00:26:53,2017-03-01 00:33:35,N,1,83,82,1,1.24,7,0.5,0.5,0,0,,0.3,8.3,2,1
