vendor_id, pickup_datetime, dropoff_datetime, passenger_count, trip_distance, pickup_longitude, pickup_latitude, rate_code, store_and_fwd_flag, dropoff_longitude, dropoff_latitude, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount

CMT,2014-07-10 10:07:55,2014-07-10 10:16:19,1,1.2,-73.981240999999997,40.781829000000002,1,N,-73.974051000000003,40.787320000000001,CSH,7.5,0,0.5,0,0,8
CMT,2014-07-10 09:06:52,2014-07-10 09:36:36,1,3.3999999999999999,-74.000952999999996,40.733972000000001,1,N,-73.970544000000004,40.764482000000001,CSH,19,0,0.5,0,0,19.5
CMT,2014-07-10 10:37:55,2014-07-10 10:49:25,1,1,-74.006416999999999,40.733199999999997,1,N,-73.999509000000003,40.723267,CSH,8.5,0,0.5,0,0,9
CMT,2014-07-10 12:43:30,2014-07-10 12:47:15,1,0.69999999999999996,-73.981444999999994,40.780760999999998,1,N,-73.974930999999998,40.788041999999997,CSH,5,0,0.5,0,0,5.5
CMT,2014-07-10 07:51:07,2014-07-10 07:57:56,1,1.1000000000000001,-74.013998000000001,40.713855000000002,1,N,-74.012623000000005,40.702553000000002,CSH,6.5,0,0.5,0,0,7
CMT,2014-07-10 10:23:15,2014-07-10 10:30:20,1,0.69999999999999996,-73.979968,40.749549000000002,1,N,-73.98357,40.756798000000003,CSH,6,0,0.5,0,0,6.5
CMT,2014-07-10 05:08:31,2014-07-10 05:23:07,1,5,-73.989069000000001,40.758426999999998,1,N,-73.917637999999997,40.739390999999998,CSH,17,0.5,0.5,0,0,18
CMT,2014-07-10 06:28:46,2014-07-10 06:32:26,1,0.5,-74.000192999999996,40.738841999999998,1,N,-74.008368000000004,40.742964000000001,CSH,4.5,0,0.5,0,0,5
CMT,2014-07-10 08:27:33,2014-07-10 09:05:32,1,4.2999999999999998,-74.007318999999995,40.705925000000001,1,N,-73.987457000000006,40.760095,CSH,24,0,0.5,0,0,24.5
CMT,2014-07-10 10:02:43,2014-07-10 10:16:21,1,1.1000000000000001,-73.967832000000001,40.752837,1,N,-73.973223000000004,40.763590999999998,CSH,9.5,0,0.5,0,0,10
CMT,2014-07-10 08:12:14,2014-07-10 08:31:20,1,6.7999999999999998,-74.000056000000001,40.743001999999997,1,N,-73.962064999999996,40.810664000000003,CSH,22.5,0,0.5,0,0,23
CMT,2014-07-10 10:19:36,2014-07-10 10:40:25,1,1.2,-73.982010000000002,40.774332000000001,1,N,-73.975838999999993,40.759953000000003,CSH,13,0,0.5,0,0,13.5
CMT,2014-07-10 11:59:21,2014-07-10 12:08:06,1,1,-73.989788000000004,40.756352,1,N,-73.980413999999996,40.764529000000003,CSH,7.5,0,0.5,0,0,8
CMT,2014-07-10 10:28:16,2014-07-10 10:39:25,1,1.2,-73.964207999999999,40.776291999999998,1,N,-73.977098999999995,40.762656999999997,CSH,9,0,0.5,0,0,9.5
CMT,2014-07-10 09:54:44,2014-07-10 10:05:02,4,1.6000000000000001,-73.960250000000002,40.776161999999999,1,N,-73.977879999999999,40.789135999999999,CSH,9,0,0.5,0,0,9.5
CMT,2014-07-10 05:37:23,2014-07-10 05:43:37,4,2.8999999999999999,-73.947277,40.784211999999997,1,N,-73.976382999999998,40.75121,CSH,10,0,0.5,0,0,10.5
CMT,2014-07-10 04:56:09,2014-07-10 04:58:51,1,0.5,-74.001002999999997,40.731605999999999,1,N,-74.002412000000007,40.725003999999998,CSH,4,0.5,0.5,0,0,5
CMT,2014-07-10 04:44:09,2014-07-10 04:54:29,1,3,0,0,1,N,0,0,CSH,11.5,0.5,0.5,0,0,12.5
CMT,2014-07-10 14:20:32,2014-07-10 14:57:05,1,20.199999999999999,-73.776666000000006,40.645232,1,N,-74.035366999999994,40.615251999999998,CSH,54.5,0,0.5,0,0,55
CMT,2014-07-10 11:31:06,2014-07-10 11:43:27,1,1.6000000000000001,-73.953487999999993,40.782826,1,N,-73.970191999999997,40.764926000000003,CSH,10,0,0.5,0,0,10.5
CMT,2014-07-10 10:52:59,2014-07-10 10:57:51,1,1,-73.970008000000007,40.785916999999998,1,N,-73.955691999999999,40.782389999999999,CSH,6,0,0.5,0,0,6.5
CMT,2014-07-10 03:54:57,2014-07-10 03:57:31,1,0.29999999999999999,-73.990863000000004,40.760722000000001,1,N,-73.996093000000002,40.759172,CSH,4,0.5,0.5,0,0,5
CMT,2014-07-10 06:04:30,2014-07-10 06:06:22,2,0.40000000000000002,-73.978301000000002,40.745877999999998,1,N,-73.978558000000007,40.741072000000003,CSH,3.5,0,0.5,0,0,4
CMT,2014-07-10 09:20:22,2014-07-10 09:45:11,1,4.5999999999999996,-73.993620000000007,40.748769000000003,1,N,-74.009371000000002,40.709992999999997,CSH,19.5,0,0.5,0,0,20
CMT,2014-07-10 06:53:11,2014-07-10 07:00:28,1,1.8999999999999999,-73.975778000000005,40.781847999999997,1,N,-73.968149999999994,40.762335,CSH,8,0,0.5,0,0,8.5
CMT,2014-07-10 07:18:49,2014-07-10 07:28:12,1,2.2000000000000002,-73.962636000000003,40.763207000000001,1,N,-73.985641999999999,40.741478999999998,CSH,9,0,0.5,0,0,9.5
CMT,2014-07-10 08:39:03,2014-07-10 08:48:14,1,1.3999999999999999,-73.970357000000007,40.755434000000001,1,N,-73.955892000000006,40.764003000000002,CSH,8,0,0.5,0,0,8.5
CMT,2014-07-10 06:39:34,2014-07-10 06:47:10,1,2,-73.993673999999999,40.736131999999998,1,N,-74.003530999999995,40.755549000000002,CSH,8.5,0,0.5,0,0,9
CMT,2014-07-10 12:05:32,2014-07-10 12:24:08,1,2.5,-73.988945000000001,40.691884999999999,1,N,-73.955706000000006,40.680998000000002,CSH,14,0,0.5,0,0,14.5
CMT,2014-07-10 06:41:46,2014-07-10 06:43:26,1,0.69999999999999996,-73.982298999999998,40.748334999999997,1,N,-73.975408000000002,40.756262,CSH,4,0,0.5,0,0,4.5
CMT,2014-07-10 05:16:10,2014-07-10 05:40:28,1,14.9,-74.004638999999997,40.71651,1,N,-74.007530000000003,40.575736999999997,CSH,41,0.5,0.5,0,0,42
CMT,2014-07-10 03:59:38,2014-07-10 03:59:49,1,0,-73.980456000000004,40.683276999999997,1,N,-73.980446000000001,40.68329,NOC,2.5,0.5,0.5,0,0,3.5
CMT,2014-07-10 08:02:34,2014-07-10 08:21:16,1,5.2000000000000002,-74.003204999999994,40.708236999999997,1,N,-73.981885000000005,40.757781999999999,CSH,19,0,0.5,0,0,19.5
CMT,2014-07-10 12:20:01,2014-07-10 12:50:00,4,14.1,-73.870878000000005,40.773555999999999,1,N,-73.976926000000006,40.656547000000003,CSH,39.5,0,0.5,0,0,40
CMT,2014-07-10 08:38:46,2014-07-10 09:08:06,1,2.8999999999999999,-74.004041000000001,40.748258999999997,1,N,-73.971744999999999,40.765248,CSH,18.5,0,0.5,0,0,19
