VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-06-01 00:55:13,2019-06-01 00:56:17,1,0.0,1,N,145,145,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,0.0
1,2019-06-01 00:06:31,2019-06-01 00:06:52,1,0.0,1,N,262,263,2,2.5,3.0,0.5,0.0,0.0,0.3,6.3,2.5
1,2019-06-01 00:17:05,2019-06-01 00:36:38,1,4.4,1,N,74,7,2,17.5,0.5,0.5,0.0,0.0,0.3,18.8,0.0
1,2019-06-01 00:59:02,2019-06-01 00:59:12,0,0.8,1,N,145,145,2,2.5,1.0,0.5,0.0,0.0,0.3,4.3,0.0
1,2019-06-01 00:03:25,2019-06-01 00:15:42,1,1.7,1,N,113,148,1,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
1,2019-06-01 00:28:31,2019-06-01 00:39:23,2,1.6,1,N,79,125,1,9.5,3.0,0.5,1.0,0.0,0.3,14.3,2.5
1,2019-06-01 00:46:46,2019-06-01 00:50:55,4,0.6,1,N,211,148,2,4.5,3.0,0.5,0.0,0.0,0.3,8.3,2.5
1,2019-06-01 00:54:49,2019-06-01 01:02:57,2,1.2,1,N,79,249,1,7.5,3.0,0.5,1.0,0.0,0.3,12.3,2.5
1,2019-06-01 00:09:57,2019-06-01 00:25:54,2,2.0,1,N,158,68,2,11.5,3.0,0.5,0.0,0.0,0.3,15.3,2.5
1,2019-06-01 00:29:12,2019-06-01 01:03:13,1,8.6,1,N,186,243,1,31.5,3.0,0.5,7.05,0.0,0.3,42.35,2.5
2,2019-06-01 00:01:48,2019-06-01 00:16:06,1,1.74,1,N,107,148,1,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
2,2019-06-01 00:17:41,2019-06-01 00:30:22,1,2.22,1,N,148,137,2,10.5,0.5,0.5,0.0,0.0,0.3,14.3,2.5
2,2019-06-01 00:33:26,2019-06-01 00:39:18,1,1.2,1,N,137,170,1,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5
1,2019-06-01 00:01:42,2019-06-01 00:06:14,1,0.7,1,N,229,141,1,5.5,3.0,0.5,1.7,0.0,0.3,11.0,2.5
2,2019-06-01 00:20:08,2019-06-01 00:28:56,1,1.83,1,N,113,161,1,8.0,0.5,0.5,1.0,0.0,0.3,12.8,2.5
2,2019-06-01 00:30:40,2019-06-01 01:08:12,1,5.11,1,N,230,229,1,25.0,0.5,0.5,7.2,0.0,0.3,36.0,2.5
1,2019-06-01 00:17:06,2019-06-01 00:46:21,1,4.8,1,N,7,170,3,21.0,3.0,0.5,0.0,0.0,0.3,24.8,2.5
1,2019-06-01 00:47:52,2019-06-01 01:04:19,1,5.2,1,N,170,42,1,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5
2,2019-06-01 00:05:51,2019-06-01 00:30:45,1,9.05,1,N,138,189,1,28.5,0.5,0.5,7.45,0.0,0.3,37.25,0.0
2,2019-06-01 00:36:38,2019-06-01 00:57:43,1,4.07,1,N,97,89,1,16.5,0.5,0.5,3.56,0.0,0.3,21.36,0.0
1,2019-06-01 00:11:27,2019-06-01 00:18:34,0,0.9,1,N,141,163,1,6.5,3.0,0.5,2.0,0.0,0.3,12.3,2.5
